method,seed_track_id,playlist_pairwise_similarity,playlist_adjacent_similarity,playlist_seed_genre_fraction,playlist_monotonic_drift_fraction,playlist_final_seed_distance,random_pairwise_similarity,random_adjacent_similarity,random_seed_genre_fraction,random_monotonic_drift_fraction,random_final_seed_distance
classification_embedding,blues/blues.00096,0.8018479943275452,0.9303328394889832,0.8,1.0,0.5208395719528198,0.4157948625087738,0.419816212952137,0.18600000000000003,0.5466666666666667,0.6065514731407166
classification_embedding,blues/blues.00071,0.7930938005447388,0.9145399928092957,0.8,0.8888888888888888,0.5279306173324585,0.41216942012310026,0.4315428975224495,0.19999999999999996,0.5622222222222222,0.6282318818569184
classification_embedding,blues/blues.00008,0.7861763834953308,0.9106705784797668,1.0,0.8888888888888888,0.45929837226867676,0.42033814907073974,0.4113285195827484,0.18000000000000005,0.56,0.5764961898326874
classification_embedding,blues/blues.00060,0.7248966693878174,0.9040145874023438,0.9,0.7777777777777778,0.46867942810058594,0.4238750356435776,0.4257010239362717,0.16799999999999998,0.5622222222222222,0.5815526497364044
classification_embedding,blues/blues.00041,0.763235330581665,0.9085158109664917,1.0,0.8888888888888888,0.32606828212738037,0.4352670174837112,0.4263574278354645,0.184,0.5555555555555556,0.5499285912513733
classification_embedding,blues/blues.00094,0.730771541595459,0.9127615690231323,0.8,0.7777777777777778,0.49766379594802856,0.41288778603076937,0.43056787371635435,0.20199999999999999,0.5800000000000001,0.6972006976604461
classification_embedding,blues/blues.00068,0.7326700091362,0.914317786693573,1.0,1.0,0.47136807441711426,0.41122931480407715,0.4120282602310181,0.17,0.5622222222222223,0.6233712208271026
classification_embedding,blues/blues.00009,0.7939649224281311,0.9133498668670654,1.0,0.8888888888888888,0.35266661643981934,0.4166619968414307,0.406671524643898,0.21999999999999997,0.5466666666666666,0.551650949716568
classification_embedding,blues/blues.00019,0.7257750630378723,0.9049044847488403,1.0,0.7777777777777778,0.5268752574920654,0.4114542782306671,0.4274363481998444,0.18999999999999997,0.5533333333333332,0.6129416978359222
classification_embedding,blues/blues.00082,0.7194507122039795,0.9039828181266785,0.9,0.8888888888888888,0.5016362071037292,0.40730811655521393,0.3971921128034592,0.20199999999999999,0.5577777777777777,0.6059424412250519
classification_embedding,classical/classical.00075,0.7251131534576416,0.886613667011261,0.9,0.6666666666666666,0.6151885986328125,0.3998525017499924,0.4037650376558304,0.174,0.5288888888888887,0.6825475907325744
classification_embedding,classical/classical.00039,0.7897718548774719,0.9303063154220581,1.0,1.0,0.5288609862327576,0.38820304214954376,0.3968301427364349,0.17799999999999994,0.5266666666666667,0.7284075784683227
classification_embedding,classical/classical.00034,0.7774645686149597,0.9358440041542053,0.5,0.8888888888888888,0.5961792469024658,0.4050509989261627,0.40580651819705965,0.19200000000000003,0.54,0.6519697284698487
classification_embedding,classical/classical.00062,0.8103270530700684,0.9391247630119324,1.0,1.0,0.5253429412841797,0.4100568383932114,0.4255613839626312,0.19,0.5422222222222222,0.6456472730636597
classification_embedding,classical/classical.00081,0.6759130954742432,0.8930533528327942,0.8,1.0,0.5289971828460693,0.39569348871707916,0.39960396707057955,0.19,0.54,0.6196589887142181
classification_embedding,classical/classical.00017,0.7665067911148071,0.9153897166252136,0.9,0.6666666666666666,0.596217155456543,0.4046252417564392,0.39926512002944947,0.20600000000000004,0.5666666666666668,0.7218239283561707
classification_embedding,classical/classical.00040,0.7858269810676575,0.9125852584838867,0.9,1.0,0.625796914100647,0.40589420676231386,0.40365752518177034,0.168,0.5711111111111111,0.6669864463806152
classification_embedding,classical/classical.00046,0.7878983616828918,0.9366125464439392,1.0,0.8888888888888888,0.6009633541107178,0.3938993465900421,0.4037113255262375,0.174,0.5755555555555556,0.68140700340271
classification_embedding,classical/classical.00054,0.7707017660140991,0.9169217348098755,1.0,1.0,0.5224623084068298,0.4151176857948303,0.4110794287919998,0.162,0.5511111111111111,0.6436235141754151
classification_embedding,classical/classical.00088,0.7756245732307434,0.918293833732605,1.0,0.8888888888888888,0.4720953106880188,0.4063572305440903,0.4258668202161789,0.174,0.5555555555555556,0.6167439472675323
classification_embedding,country/country.00066,0.8045608401298523,0.9385577440261841,1.0,1.0,0.4984476566314697,0.4119486993551254,0.4211404538154602,0.20199999999999999,0.56,0.5785095989704132
classification_embedding,country/country.00071,0.7914300560951233,0.9096892476081848,0.9,1.0,0.4767392873764038,0.42345007479190827,0.4249829065799713,0.20199999999999999,0.5599999999999999,0.5640272903442383
classification_embedding,country/country.00025,0.8605431318283081,0.9250062108039856,1.0,0.8888888888888888,0.33926743268966675,0.4323033499717712,0.42336821675300595,0.204,0.5622222222222222,0.544912576675415
classification_embedding,country/country.00044,0.8322948217391968,0.922692596912384,1.0,0.8888888888888888,0.41152888536453247,0.4099282467365265,0.40606353759765623,0.18599999999999997,0.5488888888888889,0.6035141980648041
classification_embedding,country/country.00034,0.8153125047683716,0.9342808127403259,0.5,0.8888888888888888,0.3381234407424927,0.4386334735155106,0.4260448670387268,0.184,0.5511111111111111,0.5024920320510864
