method,metric,playlist_mean,random_mean,mean_difference,difference_ci_low,difference_ci_high,n_seed_tracks,random_playlists_per_seed
classification_embedding,pairwise_similarity,0.8089316147565841,0.41860658252239225,0.3903250322341919,0.3812437021169066,0.39893079082295296,100,50
classification_embedding,adjacent_similarity,0.9287765884399414,0.4177253829985857,0.5110512054413557,0.5065564715889096,0.5153445880442113,100,50
classification_embedding,seed_genre_fraction,0.7560000000000001,0.18947999999999998,0.56652,0.5127360000000001,0.615947,100,50
classification_embedding,monotonic_drift_fraction,0.9322222222222222,0.5554666666666668,0.3767555555555556,0.3588827777777778,0.39455777777777773,100,50
classification_embedding,final_seed_distance,0.43464328289031984,0.5820037086486817,-0.1473604257583618,-0.15973474921435116,-0.13506003076225517,100,50
triplet_embedding,pairwise_similarity,0.9362467044591903,0.693422411388159,0.24282429307103157,0.23904492103233937,0.24641744653925296,100,50
triplet_embedding,adjacent_similarity,0.983399276137352,0.6930416494071481,0.2903576267302036,0.2876825549842417,0.2932270296643674,100,50
triplet_embedding,seed_genre_fraction,0.496,0.19006,0.30594,0.25066700000000003,0.3622625000000001,100,50
triplet_embedding,monotonic_drift_fraction,0.9488888888888889,0.5563999999999999,0.39248888888888894,0.3694411111111111,0.4126677777777778,100,50
triplet_embedding,final_seed_distance,0.17637162923812866,0.3079162917494774,-0.1315446625113487,-0.14438793523192403,-0.11935296984374523,100,50
