method,k,fma_precision_at_k,fma_ci_low,fma_ci_high,gtzan_precision_at_k,raw_precision_drop,fma_random_baseline,gtzan_random_baseline,fma_adjusted_precision,gtzan_adjusted_precision,adjusted_precision_drop
classification_embedding,1,0.6582194064688229,0.6408802934311437,0.6748916305435145,0.9329329329329328,0.27471352646410985,0.33333340745681483,0.1,0.48732905270180116,0.9254810365921475,0.4381519838903464
classification_embedding,5,0.6433477825941981,0.632409136378793,0.6546248749583193,0.9105105105105104,0.26716272791631224,0.33333340745681483,0.1,0.4650216144096065,0.900567233900567,0.43554561949096054
classification_embedding,10,0.6388796265421808,0.6282752584194731,0.6492855951983993,0.8898898898898899,0.25101026334770915,0.33333340745681483,0.1,0.458319379586391,0.8776554332109888,0.4193360536245978
classification_embedding,20,0.6354118039346448,0.624224324774925,0.6461328776258752,0.8617117117117116,0.22629990777706677,0.33333340745681483,0.1,0.453117645096731,0.8463463463463462,0.3932287012496152
triplet_embedding,1,0.6345448482827609,0.6172057352450817,0.6508836278759587,0.7347347347347347,0.1001898864519738,0.33333340745681483,0.1,0.4518172114743162,0.7052608163719275,0.2534436048976113
triplet_embedding,5,0.6183394464821608,0.6068006002000667,0.6303434478159387,0.6982982982982983,0.07995885181613749,0.33333340745681483,0.1,0.42750910607071385,0.6647758869981092,0.23726678092739534
triplet_embedding,10,0.6131710570190063,0.602864288096032,0.6239088029343114,0.6769769769769769,0.06380591995797058,0.33333340745681483,0.1,0.4197565210140093,0.6410855299744188,0.22132900896040952
triplet_embedding,20,0.6096698899633212,0.5994327275758586,0.6198236912304101,0.6539039039039038,0.044234013940582684,0.33333340745681483,0.1,0.4145047698465645,0.6154487821154487,0.20094401226888425
