fold,model,valence_mae,valence_rmse,valence_r2,arousal_mae,arousal_rmse,arousal_r2
0,cnn,0.7093700170516968,0.8967451659541011,0.44352489709854126,0.7763793468475342,0.9751914203244479,0.4363040328025818
0,gbm,0.7255935668945312,0.901367848769056,0.4377729296684265,0.7681583762168884,0.9588526307024129,0.45503461360931396
1,cnn,0.6683347821235657,0.869011310001166,0.4331950545310974,0.7390108108520508,0.9308687927563679,0.4765535593032837
1,gbm,0.7501930594444275,0.9222184850592771,0.3616623878479004,0.7886945009231567,0.9568174785165791,0.4469638466835022
2,cnn,0.8791455030441284,1.0791040480917358,0.19892460107803345,0.9404913783073425,1.1819672440510023,0.1335243582725525
2,gbm,0.7266597151756287,0.9053112627046641,0.43617725372314453,0.7917851805686951,1.0023851560037003,0.3768182396888733
3,cnn,0.6902657747268677,0.8502998089780821,0.47027701139450073,0.703910231590271,0.9090951128342277,0.5027848482131958
3,gbm,0.7401790022850037,0.9289740381298538,0.3677164912223816,0.7395846247673035,0.9430700138714716,0.4649263620376587
4,cnn,0.7061195969581604,0.9025514041706489,0.363241970539093,0.714616060256958,0.9128917140733835,0.4721502661705017
4,gbm,0.7014310359954834,0.8963812475788677,0.3719184398651123,0.7131831645965576,0.9003551749245051,0.48654842376708984
